Subject,Age,GoAcc,GoRT,NoGoAcc,NoGoRT,LowGoAcc,LowGoRT,LowRTVar,HighGoAcc,HighGoRT,HighRTVar,LowNoGoAcc,LowNoGoRT,HighNoGoAcc,HighNoGoRT,GoAccDiff,Dprime,LowDprime,HighDprime
Sub001,13.04312115,1,0.501825,0.71875,0.424283333,1,0.491926563,0.120521639,1,0.511723438,0.135152177,0.6875,0.43542,0.75,0.4103625,0,3.239199631,2.906335427,3.092048766
Sub002,13.15537303,0.953125,0.430984426,0.234375,0.417885714,0.984375,0.427577778,0.090836591,0.921875,0.434622034,0.094883144,0.15625,0.410540741,0.3125,0.4269,-0.0625,0.951425339,1.143884525,0.929020727
Sub003,13.28405202,1,0.476771094,0.65625,0.399772727,1,0.458626563,0.119619795,1,0.494915625,0.109718233,0.59375,0.398046154,0.71875,0.402266667,0,3.062317534,2.654761126,2.996691178
Sub004,13.33607118,0.953125,0.415683607,0.296875,0.38052,0.9375,0.416713333,0.07979005,0.96875,0.414687097,0.079375409,0.25,0.3785125,0.34375,0.382814286,0.03125,1.142530017,0.859630794,1.460481802
Sub005,13.35797399,0.8828125,0.516107965,0.75,0.4578375,0.8125,0.527580769,0.140128072,0.953125,0.506327869,0.097818984,0.84375,0.4362,0.65625,0.467672727,0.140625,1.8636541,1.897136728,2.078189788
Sub006,13.46201232,0.9921875,0.483022047,0.90625,0.416216667,1,0.496754687,0.064151947,0.984375,0.469071429,0.062261344,0.9375,0.44355,0.875,0.40255,-0.015625,3.735569914,3.951679561,3.304224074
Sub007,13.63997262,0.9921875,0.459175591,0.875,0.464075,1,0.459370312,0.075944676,0.984375,0.458977778,0.085856661,0.96875,0.4162,0.78125,0.470914286,-0.015625,3.567908397,4.280290884,2.930296455
Sub008,13.79876797,1,0.684942187,0.96875,0.5753,1,0.668142187,0.180638869,1,0.701742187,0.119443825,0.96875,0.4004,0.96875,0.7502,0,4.522799336,4.280290884,4.280290884
Sub009,13.80698152,1,0.504880469,0.953125,0.395833333,1,0.509283333,0.078197355,1,0.501667568,0.082665873,1,nan,0.921052632,0.395833333,0,4.336007191,4.42498584,3.882129116
Sub010,14.18480493,0.9921875,0.441413386,0.765625,0.395333333,1,0.437323438,0.072613809,0.984375,0.445568254,0.0771319,0.75,0.3935125,0.78125,0.397414286,-0.015625,3.1420734,3.092048766,2.930296455
Sub011,14.24503765,0.9765625,0.4099824,0.390625,0.381276923,0.984375,0.409495238,0.092798417,0.96875,0.410477419,0.063834778,0.34375,0.379209524,0.4375,0.383688889,-0.015625,1.709737446,1.751624629,1.705421183
Sub012,14.31622177,1,0.612211719,0.96875,0.56905,1,0.61491875,0.106065004,1,0.609504687,0.094443589,0.96875,0.7362,0.96875,0.4019,0,4.522799336,4.280290884,4.280290884
Sub013,14.32443532,0.8984375,0.468095652,0.703125,0.415236842,0.859375,0.469858182,0.105447051,0.9375,0.46648,0.095513252,0.84375,0.36184,0.5625,0.434307143,0.078125,1.806108347,2.087505736,1.691431229
Sub014,14.51882272,0.7421875,0.508653684,0.703125,0.437147368,0.765625,0.495473469,0.145760197,0.71875,0.522693478,0.207907461,0.65625,0.413590909,0.75,0.4695375,-0.046875,1.183513777,1.126764449,1.253621912
Sub015,14.57631759,1,0.413320313,0.5625,0.396660714,1,0.411626563,0.062259353,1,0.415014063,0.085994597,0.5625,0.396978571,0.5625,0.396342857,0,2.817378153,2.574869701,2.574869701
Sub016,14.58726899,0.9375,0.484330833,0.875,0.425375,0.9375,0.48691,0.073182898,0.9375,0.481751667,0.089023776,0.90625,0.414633333,0.84375,0.43182,0,2.684469925,2.852131442,2.544110714
Sub017,14.6146475,1,0.624321875,0.9375,0.527125,1,0.6400375,0.107775736,1,0.60860625,0.081458452,0.96875,0.4351,0.90625,0.5578,0,4.194188013,4.280290884,3.735569914
Sub018,14.63655031,1,0.538082031,0.859375,0.450411111,1,0.551360937,0.125498347,1,0.524803125,0.107660197,0.8125,0.4409,0.90625,0.469433333,0,3.737583036,3.304705575,3.735569914
Sub019,14.68309377,1,0.544341406,0.9375,0.49495,1,0.55056875,0.103798848,1,0.538114063,0.069595313,0.9375,0.53545,0.9375,0.45445,0,4.194188013,3.951679561,3.951679561
Sub020,14.80082136,1,0.422973437,0.8125,0.435908333,1,0.433627778,0.047916616,1,0.415198649,0.039858319,0.769230769,0.403983333,0.842105263,0.467833333,0,3.547214028,3.091399927,3.473089505
Sub021,15.14852841,0.9296875,0.585457983,0.796875,0.460992308,0.953125,0.601585246,0.14883132,0.90625,0.568496552,0.150554577,0.71875,0.4347,0.875,0.52015,-0.046875,2.303978456,2.255071885,2.468360278
Sub022,15.55373032,1,0.425563281,0.8125,0.402258333,1,0.425801563,0.05466343,1,0.425325,0.063471551,0.71875,0.389877778,0.90625,0.4394,0,3.547214028,2.996691178,3.735569914
Sub023,15.64134155,0.9296875,0.456757143,0.671875,0.409966667,0.921875,0.46299661,0.101396951,0.9375,0.450621667,0.092273093,0.65625,0.419409091,0.6875,0.39958,0.015625,1.918564103,1.820047203,2.022896955
Sub024,15.65229295,1,0.467801563,0.796875,0.411123077,1,0.473383333,0.084961998,1,0.463728378,0.072756561,0.807692308,0.4038,0.789473684,0.4157,0,3.490578347,3.224507783,3.274537917
Sub025,15.75906913,0.984375,0.451453175,0.609375,0.428212,0.984375,0.463733333,0.083965262,0.984375,0.439173016,0.072922272,0.59375,0.4284,0.625,0.428008333,0,2.431565134,2.391076803,2.472514058
Sub026,15.78097194,1,0.539753906,0.828125,0.433890909,1,0.528073438,0.113053638,1,0.551434375,0.124495312,0.8125,0.440666667,0.84375,0.42576,0,3.606849225,3.304705575,3.427549185
Sub027,15.8275154,1,0.488446094,0.890625,0.440171429,1,0.484132812,0.065262391,1,0.492759375,0.064906063,0.9375,0.4089,0.84375,0.45268,0,3.889926228,3.951679561,3.427549185
Sub028,15.8275154,1,0.446448438,0.828125,0.415890909,1,0.456925,0.061163611,1,0.435971875,0.047993275,0.84375,0.42428,0.8125,0.4089,0,3.606849225,3.427549185,3.304705575
Sub029,15.84941821,1,0.478123438,0.828125,0.415,1,0.487753125,0.074141178,1,0.46849375,0.074480503,0.875,0.42755,0.78125,0.407828571,0,3.606849225,3.567908397,3.193980777
Sub030,15.86858316,1,0.427399219,0.953125,0.386466667,1,0.428689063,0.060455756,1,0.426109375,0.053524635,0.96875,0.3881,0.9375,0.38565,0,4.336007191,4.280290884,3.951679561
Sub031,15.93702943,1,0.450972656,0.34375,0.543214286,1,0.445284375,0.107572431,1,0.456660937,0.100465911,0.21875,0.591012,0.46875,0.472923529,0,2.257817403,1.641137255,2.339146604
